channel_title,channel_url,message_url,date,risk_score,found_keywords,found_tags,text_snippet
Slavic Blood,https://t.me/slavicblood2024,https://t.me/s/slavicblood2024,2025-11-29T19:29:22.528933,0,,,No suspicious keywords found in recent messages
PL.ELEKTRONIK,https://t.me/pl_elektronik,https://t.me/s/pl_elektronik,2025-11-29T19:29:28.350356,0,,,No suspicious keywords found in recent messages
Szent István Légiója,https://t.me/istvan_hungary,https://t.me/s/istvan_hungary,2025-11-29T19:29:30.173155,0,,,No suspicious keywords found in recent messages
Embajada de Rusia en Uruguay,https://t.me/EmbRusUruguay,https://t.me/EmbRusUruguay/6379,2025-11-12T17:12:07+00:00,10,14,SYMBOLS_CODES,"🎨🇷🇺 ¡Concurso Internacional para Jóvenes Artistas “KARTINA MIRA 2025–2026”!  🌍 Artistas de 18 a 35 años de todo el mundo están invitados a participar en las categorías:  🖌️ Pintura, ✏️ Gráfica 💻 Arte "
Embajada de Rusia en Uruguay,https://t.me/EmbRusUruguay,https://t.me/EmbRusUruguay/6381,2025-11-15T10:44:16+00:00,10,14,SYMBOLS_CODES,"🎙 El fragmento de la rueda de prensa de la portavoz de la Cancillería rusa, María Zajárova, sobre la política antidrogas de EE.UU. en #AméricaLatina (14 de noviembre de 2025)  Desde septiembre de 2025"
Embajada de Rusia en Uruguay,https://t.me/EmbRusUruguay,https://t.me/EmbRusUruguay/6387,2025-11-18T03:24:51+00:00,10,14,SYMBOLS_CODES,"🎙 Respuesta de la portavoz de la Cancillería rusa, María Zajárova, a la pregunta de los medios de comunicación en torno a la #CОP30 (rueda de prensa, 14 de noviembre de 2025)  ❓Pregunta: En Brasil se "
Embajada de Rusia en Uruguay,https://t.me/EmbRusUruguay,https://t.me/EmbRusUruguay/6391,2025-11-24T20:01:45+00:00,10,14,SYMBOLS_CODES,"📣 Por si te lo perdiste, aquí están los puntos clave de la rueda de prensa de nuestra portavoz, María Zajárova (20 de noviembre de 2025)  🔹 Agenda del Canciller de Rusia, Serguéi Lavrov 🔹 Crisis ucran"
Embajada de Rusia en Uruguay,https://t.me/EmbRusUruguay,https://t.me/EmbRusUruguay/6405,2025-11-28T14:18:12+00:00,10,14,SYMBOLS_CODES,"🚀 El 27 de noviembre a las 12:28 (hora de Moscú), desde Baikonur, despegó el cohete portador «Soyuz-2.1a», que llevó al espacio a la tripulación de la nave «Soyuz MS-28».  La tripulación está formada "
Niklot,https://t.me/Niklottg,https://t.me/Niklottg/1680,2025-11-23T13:16:55+00:00,30,akcja,RUSSIAN_UKRAINIAN_RECRUITMENT,"✅Prezentujemy nowy numer naszego portalu. Zapraszamy do lektury.  👌 Adrianna Gąsiorek - Zamiast dzieci mamy psy? Mity, uproszczenia i rzeczywiste przyczyny kryzysu demograficznego 👌Adam Seweryn - Patr"
Polski Wrzask,https://t.me/PolskiWrzask,https://t.me/PolskiWrzask/955,2025-11-20T19:06:35+00:00,50,sabotaż,"DIRECT, SABOTAGE_EUPHEMISMS",Idźcie na wojne bo to kolejny sabotaż Putina 😂🎉 Albo do roboty bo podatki trzeba zapłacić i ZUS 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
Kanał informacyjny 🐸KJU🐸,https://t.me/infokju,https://t.me/infokju/83234,2025-11-29T01:12:23+00:00,10,komórka,RADICAL_ORGANIZATION,"Nowe badania wykazały, że szafran, najcenniejsza przyprawa na świecie, może leczyć chorobę Alzheimera równie skutecznie, jak wiodące leki farmaceutyczne. W 22-tygodniowym badaniu klinicznym pacjenci, "
Kanał informacyjny 🐸KJU🐸,https://t.me/infokju,https://t.me/infokju/83239,2025-11-29T08:54:33+00:00,30,rafineria,INFRASTRUCTURE_TARGETS,🇺🇦 🇷🇺 Dzisiejszej nocy również ukraińskie drony nie pozostały bierne i zaatakowały Rafinerię Afipską w Kraju Krasnodarskim.  Od 2023 roku ta rafineria była już co najmniej osiem razy celem ataków.  t.
Kanał informacyjny 🐸KJU🐸,https://t.me/infokju,https://t.me/infokju/83243,2025-11-29T12:11:18+00:00,30,magazyn,INFRASTRUCTURE_TARGETS,Wymowna okładka najnowszego numeru magazynu The Week  @infokju
Kanał informacyjny 🐸KJU🐸,https://t.me/infokju,https://t.me/infokju/83248,2025-11-29T18:27:48+00:00,30,obiekt,RUSSIAN_UKRAINIAN_RECRUITMENT,"Piotr Wierzbicki założyciel, i przez lat parę redaktor naczelny Gazety Polskiej, którą mu w przebiegły sposób odebrał Sakiewicz i spółka - całkiem legalnie, ale w sposób skandaliczny. Autor tzw -""Trak"
Типичный Вроцлав/Wroclaw/Польша,https://t.me/typicalwro,https://t.me/typicalwro/10985,2025-11-28T17:20:02+00:00,40,USDT,RECRUITMENT_PAYMENT,"💸 USDT → Наличка в Польше  Быстрый, надёжный и удобный обмен для тех, кому важно получить наличные в тот же день.  Мы работаем в крупнейших городах: 📍 Варшава / Вроцлав / Краков / Гданьск / Познань / "
КОРНИЛОВ,https://t.me/kornilov1968,https://t.me/s/kornilov1968,2025-11-29T19:29:46.537186,0,,,No suspicious keywords found in recent messages
Hooligans.cz,https://t.me/hooliganscz1999,https://t.me/s/hooliganscz1999,2025-11-29T19:29:49.655775,0,,,No suspicious keywords found in recent messages
Wiadomości Telegrama,https://t.me/TelegramPL,https://t.me/s/TelegramPL,2025-11-29T19:29:55.201446,0,,,No suspicious keywords found in recent messages
Silesian Rats Crew,https://t.me/silesianratscrew,https://t.me/silesianratscrew/278,2025-09-10T07:43:56+00:00,30,obiekt,RUSSIAN_UKRAINIAN_RECRUITMENT,"Dzisiejszej nocy, w związku z masowym atakiem dronowym Federacji Rosyjskiej na Ukrainę, doszło do kilkunastu przypadków naruszenia polskiej przestrzeni powietrznej przez bezzałogowe statki powietrzne."
Ostatni Legion,https://t.me/ostatnilegion,https://t.me/ostatnilegion/154,2025-01-05T08:47:40+00:00,5,Czołem Wielkiej Polsce,NATIONALIST_IDEOLOGY,"Pięć dni temu weszliśmy w nowy, 2025 rok. Dla nas jako organizacji oznacza to również, że nasze struktury istnieją już pełny rok.  Ostatnie 12 miesięcy były dla nas dynamicznym czasem. Z rzeczy najważ"
Unknown/Error,https://t.me/NSZGroup,,2025-11-29T19:30:29.421468,0,,,Could not scrape channel preview
"Kto mówi prawdę, ten niepokój wszczyna",https://t.me/ksokolowska,https://t.me/s/ksokolowska,2025-11-29T19:30:30.924277,0,,,No suspicious keywords found in recent messages
